"","gene","yrseq","OTUid","occur","genusSpecies","phylum","class","order","family"
"201216S.1","16S","2012","OTU_2",311,"Bradyrhizobium_sp","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae"
"201216S.2","16S","2012","OTU_7",304,"Sphingomonas_sp","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
"201216S.3","16S","2012","OTU_106",304,"Caulobacter_sp","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae"
"201216S.4","16S","2012","OTU_12",302,"Brevundimonas_sp","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae"
"201216S.5","16S","2012","OTU_3",301,"Phyllobacterium_sp","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae"
"201216S.6","16S","2012","OTU_26",299,"Sphingomonas_sp","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
"201216S.7","16S","2012","OTU_23",297,"Caulobacter_sp","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae"
"201216S.8","16S","2012","OTU_17",291,"Tardiphaga_sp","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae"
"201216S.9","16S","2012","OTU_68",288,"Variovorax_sp","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"201216S.10","16S","2012","OTU_813",287,"unidentified_sp","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
"201416S.1","16S","2014","OTU_2",341,"Bradyrhizobium_sp","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae"
"201416S.2","16S","2014","OTU_15",311,"Brevundimonas_sp","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae"
"201416S.3","16S","2014","OTU_25",306,"Terriglobus_sp","Acidobacteria","Acidobacteria_Gp1","Terriglobus","Terriglobus"
"201416S.4","16S","2014","OTU_41",290,"Granulicella_sp","Acidobacteria","Acidobacteria_Gp1","Granulicella","Granulicella"
"201416S.5","16S","2014","OTU_24",282,"Sphingomonas_sp","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae"
"201416S.6","16S","2014","OTU_66",281,"Mesorhizobium_sp","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae"
"201416S.7","16S","2014","OTU_38",278,"Tardiphaga_sp","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae"
"201416S.8","16S","2014","OTU_142",278,"Phenylobacterium_sp","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae"
"201416S.9","16S","2014","OTU_184",272,"Terriglobus_sp","Acidobacteria","Acidobacteria_Gp1","Terriglobus","Terriglobus"
"201416S.10","16S","2014","OTU_288",272,"Jatrophihabitans_sp","Actinobacteria","Actinobacteria","Actinomycetales","Cryptosporangiaceae"
"2012ITS.1","ITS","2012","OTU_51",233,"Lecythophora_sp_olrim15","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae"
"2012ITS.2","ITS","2012","OTU_166",205,"unidentified","Ascomycota","Leotiomycetes","Helotiales","unidentified"
"2012ITS.3","ITS","2012","OTU_53",189,"Togninia_minima","Ascomycota","Sordariomycetes","Diaporthales","Togniniaceae"
"2012ITS.4","ITS","2012","OTU_103",174,"Togninia_minima","Ascomycota","Sordariomycetes","Diaporthales","Togniniaceae"
"2012ITS.5","ITS","2012","OTU_80",168,"unidentified","Ascomycota","unidentified","unidentified","unidentified"
"2012ITS.6","ITS","2012","OTU_1",157,"Hypoxylon_sp","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae"
"2012ITS.7","ITS","2012","OTU_157",154,"unidentified","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae"
"2012ITS.8","ITS","2012","OTU_50",151,"Trichoderma_viride","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae"
"2012ITS.9","ITS","2012","OTU_31",148,"unidentified","Ascomycota","unidentified","unidentified","unidentified"
"2012ITS.10","ITS","2012","OTU_25",137,"Dendrophora_sp","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae"
"2014ITS.1","ITS","2014","OTU_251",158,"Lecythophora_sp_olrim15","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae"
"2014ITS.2","ITS","2014","OTU_33",132,"Candida_tropicalis","Ascomycota","Saccharomycetes","Saccharomycetales","Incertae_sedis_11"
"2014ITS.3","ITS","2014","OTU_67",122,"unidentified","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae"
"2014ITS.4","ITS","2014","OTU_7",121,"unidentified","Ascomycota","Sordariomycetes","Sordariales","unidentified"
"2014ITS.5","ITS","2014","OTU_716",118,"Capronia_semi-immersa","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae"
"2014ITS.6","ITS","2014","OTU_189",108,"Capronia_pilosella","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae"
"2014ITS.7","ITS","2014","OTU_290",108,"unidentified","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae"
"2014ITS.8","ITS","2014","OTU_127",106,"unidentified","Basidiomycota","Agaricomycetes","unidentified","unidentified"
"2014ITS.9","ITS","2014","OTU_145",106,"Veronaea_compacta","Ascomycota","Incertae_sedis_14","Incertae_sedis_15","Incertae_sedis_16"
"2014ITS.10","ITS","2014","OTU_240",100,"unidentified","Ascomycota","unidentified","unidentified","unidentified"
