"","nSamps","nOTUs","minOTUs.persamp","maxOTUs.persamp","meanOTUs.persamp","seOTUs.persamp","table","otuprep"
"1",325,1158,2,35,15.8984615384615,0.370693367814664,"2012ITS","r100"
"2",312,1572,5,72,31.5641025641026,0.687274633076536,"2012ITS","r500"
"3",294,1692,4,103,40.6224489795918,0.901817330920447,"2012ITS","r1000"
"4",325,1977,-1.16018306073329e-13,2.8066438062524e-13,3.29548354417196e-15,2.23704406335474e-15,"2012ITS","c100"
"5",331,1310,1,34,14.6888217522659,0.378456617995389,"2014ITS","r100"
"6",324,1628,1,79,27.7191358024691,0.660224589080745,"2014ITS","r500"
"7",321,1725,2,97,34.2274143302181,0.804777878269385,"2014ITS","r1000"
"8",331,1875,-1.11466391672366e-13,1.01252339845814e-13,-1.26250134884867e-15,1.37579045276299e-15,"2014ITS","c100"
"9",313,4179,2,89,61.6230031948882,0.855494115004954,"201216S","r100"
"10",310,7191,19,312,184.551612903226,3.14652885699996,"201216S","r500"
"11",303,8171,24,483,274.613861386139,5.17080433488813,"201216S","r1000"
"12",313,9980,-8.47899528366725e-12,1.27037269592734e-11,2.69386288214257e-12,1.52849235309563e-13,"201216S","c100"
"13",351,4253,2,90,64.2934472934473,0.795023056258048,"201416S","r100"
"14",346,5868,6,288,186.421965317919,2.79716462829923,"201416S","r500"
"15",343,6184,5,417,264.268221574344,4.36091805602531,"201416S","r1000"
"16",351,6500,-2.23376872554581e-13,6.53976872655448e-12,5.95112752998966e-13,4.93216824220066e-14,"201416S","c100"
"17",324,309,1,16,5.03703703703704,0.135151134593863,"2012ITS_sapros","r100"
"18",312,415,1,25,9.72435897435897,0.23708922393282,"2012ITS_sapros","r500"
"19",294,437,1,32,12.2006802721088,0.296660928710396,"2012ITS_sapros","r1000"
"20",325,523,-30.6644266742595,34.8269406000812,1.44579098192388,0.528706201170237,"2012ITS_sapros","c100"
"21",326,335,1,14,4.65030674846626,0.143972329984226,"2014ITS_sapros","r100"
"22",322,395,1,27,7.8944099378882,0.223700016782837,"2014ITS_sapros","r500"
"23",319,425,1,36,9.78056426332288,0.278863807884159,"2014ITS_sapros","r1000"
"24",330,458,-21.601446311983,22.5494787500141,2.06193611620134,0.410675346407316,"2014ITS_sapros","c100"
"25",316,333,1,15,4.21835443037975,0.13859181368614,"2012ITS_basidios","r100"
"26",308,432,1,25,7.60714285714286,0.251722445014222,"2012ITS_basidios","r500"
"27",294,475,1,29,9.52380952380952,0.320152193073089,"2012ITS_basidios","r1000"
"28",325,553,-35.7243879237264,28.2449442338872,1.20984568373871,0.458996672549247,"2012ITS_basidios","c100"
"29",323,408,1,10,4.1640866873065,0.123265357893278,"2014ITS_basidios","r100"
"30",320,495,1,19,6.86875,0.193509685123709,"2014ITS_basidios","r500"
"31",320,521,1,21,8.3375,0.240239520956622,"2014ITS_basidios","r1000"
"32",330,571,-14.1195901854589,16.5063058219272,2.95740912768883,0.327650453884799,"2014ITS_basidios","c100"
